"inhibs_rojo";"num_torres_rojo";"num_torres_azul";"DamageObjectives_rojo";"inhibs_azul";"DamageObjectives_azul";"kda_adc_rojo";"kda_jng_rojo";"kda_mid_azul";"kda_jng_azul";"kda_mid_rojo";"num_nashors_rojo";"kda_sup_azul";"kda_sup_rojo";"kda_adc_azul";"num_asesinatos_rojo";"kda_top_rojo";"kda_top_azul";"num_asesinatos_azul";"num_nashors_azul";"num_dragones_rojo";"num_dragones_azul";"double_k_rojo";"diff_oro_al_15";"diferencia_exp";"oro_al_15_rojo";"double_k_azul";"cura_rojo";"oro_al_15_azul";"cura_azul";"gana_azul"
1;8;1;2938,09523809524;0;547,619047619048;11;11;0,5;0,333333333333333;6;1;0;12;0,25;14;6;1;1;0;3;0;1;-4800;-3815;26400;0;779,761904761905;21600;463,428571428571;"no"
1;8;1;2373,91304347826;0;691,304347826087;6;10;0;1;14;0;0;9;0;15;10;0,5;1;0;3;0;2;-5500;-5219;26900;0;1106,30434782609;21400;657;"no"
1;9;3;2594,28571428571;0;1031,42857142857;9;7;0,5;0,75;4,5;2;1;9;0;13;5;0,333333333333333;3;0;2;2;2;-2300;-1375;25100;0;784,828571428571;22800;551,828571428571;"no"
2;9;3;2260;0;883,333333333333;8;5,33333333333333;0,5;1,33333333333333;16;1;0,666666666666667;11;2,33333333333333;23;15;1;8;0;4;0;2;722;-786;24300;1;1208,46666666667;25000;544,033333333333;"no"
1;8;7;2190,32258064516;2;1732,25806451613;14;4;3,5;2,66666666666667;13;1;1,16666666666667;3;3,5;17;4;2;10;0;3;2;0;253;72;24700;0;1955,58064516129;25000;505,322580645161;"no"
5;11;4;3040;0;1022,85714285714;10;3;2,66666666666667;8;3,33333333333333;2;1;10;2,5;14;5;1,25;9;0;4;1;2;301;138;23700;0;1028,08571428571;24000;629,6;"no"
3;10;5;2466,66666666667;0;1195,2380952381;12;9;0;0;8;1;0,333333333333333;12;2;15;13;0,333333333333333;2;1;4;2;3;-2300;-985;25100;0;936,619047619048;22800;751,666666666667;"no"
1;7;3;2300;0;1388,46153846154;6,5;15;0,666666666666667;2,5;12;1;0,5;6;2;16;12;0,6;6;0;3;1;2;171;-1270;24600;1;485,615384615385;24800;627,576923076923;"no"
2;10;2;2408,33333333333;0;1150;15;15;2;0,333333333333333;13;1;0,4;16;0,666666666666667;16;8;0,5;2;0;1;2;4;-2100;-2173;25500;0;1259,66666666667;23400;977,541666666667;"no"
2;10;4;2275,75757575758;0;1712,12121212121;5,66666666666667;7;2;4;12;1;1,5;6,33333333333333;4,5;21;7;0,571428571428571;10;0;2;3;3;-1200;618;26600;1;1227,57575757576;25400;1445,78787878788;"no"
4;11;4;2737,5;0;978,125;8,5;2,75;1,5;1,6;8,5;2;1,8;17;4,5;21;6,5;1,33333333333333;11;0;3;2;1;-594;529;23700;1;1734,90625;23100;803,8125;"no"
1;8;8;2412,19512195122;2;1929,26829268293;3,8;6;3,75;2,66666666666667;3,4;1;2,33333333333333;5,33333333333333;6;23;3;2,75;20;2;3;2;4;-2300;-1127;27200;2;980,341463414634;24900;1005,73170731707;"no"
1;8;2;2525;0;1096,875;8;12;1,8;3,33333333333333;3,25;2;0,857142857142857;7,5;9;20;2,5;1,25;13;0;1;3;3;-642;-165;24700;1;1409,5625;24100;694,5625;"no"
1;9;3;2396,66666666667;0;1373,33333333333;6;17;1,57142857142857;1,5;2,8;2;1,5;4,25;2,66666666666667;27;8;0,571428571428571;15;0;4;1;2;59;-331;24200;1;780,933333333333;24500;625,366666666667;"no"
1;9;4;2680,64516129032;0;661,290322580645;23;25;1,28571428571429;1,25;5;0;1,42857142857143;6,5;1;31;4;1,5;13;1;4;0;2;-5200;-2051;29100;0;696,870967741935;23900;654,225806451613;"no"
2;9;2;3077,14285714286;0;885,714285714286;10;7;2;0,5;4;1;0,333333333333333;10;0,25;10;9;1;2;0;5;0;0;-1800;-401;24900;1;1283,42857142857;23100;815,8;"no"
2;10;1;3260,71428571429;0;475;3;6;0;0;3;1;0;5;0;9;5;0;0;0;4;0;1;-4700;-3628;26600;0;991,357142857143;21900;748,714285714286;"no"
2;10;3;2579,06976744186;0;1300;6,5;12;2;2;4,33333333333333;2;1,2;2,33333333333333;2,66666666666667;19;11;2;10;0;4;3;0;-2300;-2485;25100;1;1220,86046511628;22800;970,348837209302;"no"
1;9;1;1967,85714285714;0;1607,14285714286;22;23;0,285714285714286;0,25;11;1;0;21;0,2;30;20;0,166666666666667;3;0;3;1;3;-1600;-2539;24500;0;915;22900;618,035714285714;"no"
6;11;3;2445,94594594595;0;1521,62162162162;12;3,33333333333333;2,5;2;8;2;1,33333333333333;2,5;2,66666666666667;16;13;1,75;8;0;3;2;0;-2200;-1563;25400;1;833,891891891892;23200;1291,59459459459;"no"
1;8;3;2112,5;0;1260;10;3,66666666666667;4;1,5;8;1;6;4;1,25;14;4;2,33333333333333;9;0;3;3;0;1700;1604;22000;1;871,425;23700;676,45;"no"
1;9;7;2774,41860465116;2;1832,55813953488;18;22;0,666666666666667;0,454545454545455;16;2;3;7,33333333333333;0,333333333333333;29;7;1,25;6;1;4;2;1;-3200;-932;27500;1;1196,20930232558;24300;1297,04651162791;"no"
4;11;5;2925,71428571429;0;1060;7;19;2,16666666666667;2,2;2,16666666666667;2;1;2,57142857142857;3;27;16;1,83333333333333;17;0;3;2;4;562;827;26400;1;1548,71428571429;27000;1027,28571428571;"no"
1;8;8;2767,5;1;1740;7;12;5;1,8;3,33333333333333;1;2,5;2,5;2,25;20;1,16666666666667;1,2;15;1;5;1;1;-2300;-978;24900;2;563,1;22600;1035,575;"no"
2;10;4;2264;0;1984;4;2,2;1;3,33333333333333;12;1;2;8;0,75;16;5;1,66666666666667;11;0;2;1;2;4800;610;23800;1;1129,8;28600;507,32;"no"
2;9;1;2679,41176470588;0;714,705882352941;1,66666666666667;7;4;1;4;1;1;4;1,5;13;11;0,4;5;0;5;0;1;-1300;-877;24000;0;722,764705882353;22700;616;"no"
1;6;3;2002,85714285714;0;1137,14285714286;6,5;3,25;0,75;1;18;0;1;5;1;20;16;1,8;10;0;4;2;2;-1100;-596;24000;0;1062,6;22900;820,828571428571;"no"
