"num_torres";"inhibs";"DamageObjectives";"kda_mid";"kda_jng";"kda_sup";"kda_adc";"kda_top";"num_asesinatos";"num_nashors";"num_dragones";"double_k";"oro_al_15";"cura";"gana";"diferencia_exp";"diff_oro_al_15"
11;4;3121,05263157895;2;12;2;8;5,5;18;3;4;2;24900;966,105263157895;"si";2633;2300
10;1;2188,88888888889;12;2,5;6;5,5;13;16;2;3;1;24100;872,305555555556;"si";1393;-1100
10;2;2625;17;19;23;9,5;6;25;1;5;1;26900;1231,78125;"si";3316;4100
9;1;1935,89743589744;10;12;12;4;3,66666666666667;14;1;3;0;24300;1025,94871794872;"si";481;107
0;0;438,461538461538;0,333333333333333;0,333333333333333;0;0,5;0,333333333333333;1;0;0;0;22300;634,076923076923;"no";-2957;-4300
1;0;410,714285714286;1,5;1,33333333333333;0,6;0,4;0,5;4;0;0;0;22800;643,285714285714;"no";-320;-2200
8;1;2345,71428571429;5,5;6,5;12;12;4,33333333333333;15;1;4;1;25200;733,314285714286;"si";-414;758
8;1;1720,68965517241;1,5;14;3,66666666666667;7;1,5;14;1;1;2;22700;740,068965517241;"si";-2112;-3400
5;0;1779,41176470588;1,75;0,571428571428571;2,33333333333333;1,25;1;11;0;2;0;25500;425,794117647059;"no";678;2000
9;2;2496;13;14;14;11;8;16;1;3;1;25400;1072,2;"si";2315;2500
2;0;1660;2;2,25;2,5;8;4;11;0;4;0;24000;946,05;"no";1114;-1300
1;0;584;0,5;1;0;0;0,25;3;0;0;0;24200;644,04;"no";-82;-1400
0;0;738,709677419355;0,428571428571429;0,75;1;1,5;1;5;0;1;0;22800;566,903225806452;"no";-1703;-3700
9;2;2797,05882352941;5;9;9;9;9;12;1;5;2;24300;804,235294117647;"si";-198;443
1;0;736,666666666667;0,75;1;0,666666666666667;2;0,666666666666667;3;0;1;0;22200;580,833333333333;"no";-1003;-3700
1;0;610,714285714286;0;0;0;0;0;0;0;0;0;22200;798,821428571429;"no";-2362;-2700
9;3;3537,5;2,5;11;4;10;2,66666666666667;16;2;5;2;24900;1088,8125;"si";324;-3000
1;0;966,666666666667;1,5;0,666666666666667;0,333333333333333;1;0,5;3;0;0;0;22500;545,555555555556;"no";-734;-2600
9;2;1722,85714285714;5;3;8;8;2;12;1;2;1;24800;926,2;"si";253;881
2;0;1415,78947368421;5,5;2,66666666666667;10;3,33333333333333;1,2;12;0;3;0;25000;1314,26315789474;"no";-1951;-1400
1;0;1178,125;2;1,33333333333333;4;4;0,333333333333333;4;0;1;0;22700;1101,78125;"no";-3446;-7000
3;0;1421,875;4,5;3,33333333333333;3;2;0,833333333333333;11;0;0;1;23900;821,78125;"no";471;947
7;1;1691,66666666667;6,5;3;14;4,5;8;14;1;4;1;22400;825,472222222222;"si";-1102;-2900
1;0;831,25;1;1,75;1,5;2,5;2;8;0;1;0;23100;737,21875;"no";-1587;-2000
3;0;1568,29268292683;6;3,33333333333333;5;9;8;12;0;4;0;23000;1082,56097560976;"no";-219;-1900
8;0;1689,36170212766;2,4;2,75;2,33333333333333;12;1,57142857142857;17;1;2;1;25000;2053,53191489362;"no";1231;2700
1;0;1471,42857142857;1,5;2,33333333333333;2;1;2,5;7;0;2;1;24300;597,457142857143;"no";981;-852
0;0;485,185185185185;1,25;0,75;0,666666666666667;1;1,25;8;0;0;0;23800;835,037037037037;"no";-501;-936
11;5;2934,21052631579;3,5;10;5;10;6;13;2;5;1;26200;718,815789473684;"si";1798;4400
1;0;1110,71428571429;1;1;1;1;1;5;1;1;0;24000;579,464285714286;"no";-1235;-1300
2;0;1039,47368421053;1;2;5;4;2,5;5;0;2;1;22300;602,210526315789;"no";-1604;-3500
11;5;2146,51162790698;2,33333333333333;7,66666666666667;8;7,33333333333333;6;26;2;4;3;24100;912,418604651163;"si";411;145
3;0;1331,03448275862;1,5;0,5;0,5;0,5;0,333333333333333;4;0;2;0;24100;651,413793103448;"no";139;552
8;1;2339,39393939394;2,2;12;10;6;10;18;1;4;3;23600;1066,51515151515;"si";-257;93
7;1;2880,76923076923;10;12;9;8;12;15;1;4;1;25400;1208,46153846154;"si";3266;3100
8;1;1804,08163265306;1,75;2,25;4,5;10;9;13;0;4;1;22300;1737,73469387755;"si";-350;-32
3;0;1406,52173913043;3;2,75;3;5,5;1;16;0;3;0;25500;739,5;"no";-1207;918
9;2;2135,55555555556;2,5;5;3,66666666666667;2,75;1,5;15;3;3;0;25700;783,177777777778;"si";446;2400
1;0;815,151515151515;1,25;2,66666666666667;1,6;1,6;1,5;10;0;2;1;25000;750,272727272727;"no";-299;-1100
7;1;1293,02325581395;3,5;0,8;2,5;7;2,66666666666667;9;0;4;0;24200;831,581395348837;"no";-2134;-125
7;1;2644,11764705882;17;18;19;5,5;7,5;22;0;4;1;26600;1401,88235294118;"si";722;2600
10;2;3175,75757575758;8;14;4;11;4,5;15;1;4;1;24800;1494,30303030303;"si";409;-793
2;0;1142,85714285714;1,5;1;2;1,66666666666667;0,5;5;0;3;0;23900;577,257142857143;"no";-869;-2900
9;2;2338,70967741935;13;12;6;11;1,66666666666667;15;1;4;0;24800;1081,54838709677;"si";2537;435
1;0;846,428571428571;4;1;1,5;3;0;4;0;1;0;23200;606,428571428571;"no";488;73
3;0;1827,65957446809;7;4,5;1,75;2,33333333333333;1,33333333333333;10;1;3;0;23800;976;"no";-891;-3200
2;0;416;1;0,75;1;0,666666666666667;0;3;0;0;0;23000;383,2;"no";-3746;-4300
10;2;2320,83333333333;8,5;2,8;2,6;2;7;21;0;5;1;25300;1014,6875;"si";-1256;1300
5;0;1314,70588235294;0,333333333333333;0,75;1,33333333333333;4;0,4;5;0;1;0;25000;715,705882352941;"no";109;1400
11;4;2647,82608695652;7;3;5;3;1,25;10;2;3;1;27100;688;"si";2226;2100
4;0;1250;0,166666666666667;0,25;1;1;0,25;1;0;2;0;22800;724,9375;"no";-1056;-1500
3;0;1037,14285714286;1,75;1,33333333333333;0,8;1,5;2;7;0;2;0;24600;699,971428571429;"no";409;1400
9;1;2626,66666666667;4,5;10;9;8;1,25;11;1;4;0;24900;1187,93333333333;"si";1078;17
3;0;854,285714285714;1,4;3,33333333333333;1;2,66666666666667;5,5;12;0;1;1;22900;601,8;"no";-790;-2000
2;0;741,935483870968;0,5;0,333333333333333;0;0;0;1;0;1;0;21800;627,322580645161;"no";-1120;-2900
11;3;3784,84848484848;15;5,33333333333333;17;8;6;20;2;4;2;26200;1493,12121212121;"si";-8;723
5;1;1265,625;1,5;1,33333333333333;4;1,5;0,666666666666667;5;0;3;0;25000;952,53125;"no";937;729
0;0;850;1;0,5;2;2;0,25;3;0;2;0;21700;875,107142857143;"no";-2333;-4600
7;1;2333,33333333333;5,5;9;10;2,5;7;13;1;3;0;24800;887,846153846154;"si";1234;645
1;0;784;0,333333333333333;0,333333333333333;0,5;0;0,6;3;0;0;0;22900;497,44;"no";-4501;-6900
9;2;2275,75757575758;4,33333333333333;8,33333333333333;19;22;20;28;1;5;5;24500;922,151515151515;"si";541;339
2;0;1862,96296296296;1;0,6;0,666666666666667;1,33333333333333;2;5;0;2;0;22700;665,888888888889;"no";-134;-3300
10;1;3123,33333333333;12;22;18;19;10;23;1;4;3;25000;1475,73333333333;"si";64;2300
3;0;1530;1,5;1,5;0,4;1,5;1;4;0;3;0;24600;884,1;"no";2946;-398
9;1;2173,52941176471;5,5;6,5;6,5;13;5;16;1;4;2;23800;1217,88235294118;"si";-982;-778
5;0;1655;3;1,66666666666667;1;3;1;6;0;4;1;24500;980,325;"no";1300;1500
11;2;3288;10;7;11;6;5;13;1;4;1;26700;1387;"si";64;2100
1;0;916;0,25;0,4;0,25;1;1;2;0;1;0;22600;606,4;"no";-4778;-4900
1;0;855,263157894737;6;2;1;2,5;1,5;7;0;1;1;23000;842,842105263158;"no";-1704;-2100
11;3;3032,25806451613;4,66666666666667;14;16;12;4,5;19;2;4;5;25000;1021,83870967742;"si";-859;1000
10;2;3052;8;11;13;13;4;13;1;3;2;26200;961,96;"si";1611;4000
0;0;516,666666666667;0;0;0;0;0;0;0;0;0;22600;810,791666666667;"no";-2346;-6600
1;0;532,258064516129;2,33333333333333;3;2;4;1,16666666666667;11;0;0;3;23000;445,322580645161;"no";-2144;-2900
10;2;2333,33333333333;16;2,5;19;10;6;20;1;2;1;24000;1859,09090909091;"si";-298;300
11;3;2884,84848484848;18;13;18;13;6;20;2;5;2;24400;912;"si";-490;329
10;3;3321,9512195122;12;5;17;13;11;20;3;3;2;25600;1116;"si";1901;1300
7;1;2509,75609756098;5,5;3,66666666666667;4;12;1,25;14;1;4;1;24300;1182,41463414634;"si";-114;-1300
2;0;1131,57894736842;4;1,2;0,833333333333333;1,2;3,5;8;0;2;0;25100;437,210526315789;"no";-1364;541
1;0;809,375;2;3,5;1;3;1;11;0;3;1;23800;844,53125;"no";-2192;-2900
3;0;1180;1;2,33333333333333;1,6;1,28571428571429;3,33333333333333;10;1;0;0;24400;796,6;"no";-218;-413
1;0;1319,44444444444;2,5;1,5;1,66666666666667;4;0,833333333333333;8;0;2;0;22700;1276,63888888889;"no";235;-1100
10;2;2744,11764705882;11;10;11;6;8;14;2;3;1;25900;1067,38235294118;"si";1524;3000
6;0;2070;9;4;2;1,57142857142857;1,8;13;2;2;2;23500;1335,46;"no";-1029;-2000
10;3;2771,42857142857;11;15;4,33333333333333;12;2;17;2;4;2;24200;959,690476190476;"si";947;-1700
11;6;2930,4347826087;4,33333333333333;3,66666666666667;1,83333333333333;7;4;17;3;5;2;23700;812,434782608696;"si";320;426
3;0;540,625;1,25;1;0,8;2;1,25;6;0;1;0;22500;646,375;"no";932;-281
1;0;1312,90322580645;0,666666666666667;5;0,4;3;0,8;5;0;1;0;24200;477,838709677419;"no";200;1000
8;3;1869,76744186047;7;2;3;2,4;1,85714285714286;18;2;3;2;22900;1199,32558139535;"no";-1350;-1600
0;0;788,571428571429;0,5;0;0,333333333333333;0,333333333333333;0,333333333333333;1;0;2;0;22700;484,457142857143;"no";-622;-2000
11;3;2914,28571428571;12;6;11;12;2,25;13;2;2;0;27000;900,314285714286;"si";1147;2800
8;1;2648,27586206897;6;16;13;18;3,75;18;1;2;4;26100;1202,48275862069;"si";2004;2400
8;1;1816,66666666667;16;3,25;12;6,5;4,33333333333333;18;0;4;3;26800;1115,61111111111;"si";2433;1400
1;0;834,615384615385;0,666666666666667;1,2;1,5;1;0,8;7;0;2;0;23400;671,384615384615;"no";353;-1800
4;0;1126,66666666667;1,5;2;1,5;1,5;0,333333333333333;4;0;1;1;24200;996,333333333333;"no";575;-125
5;0;1381,57894736842;5;3;1,5;0,5;5;6;0;4;0;22800;887,447368421053;"no";-931;-3600
4;0;1350;2;1;1,25;2,33333333333333;0,666666666666667;7;1;2;0;23500;994,5625;"no";617;-226
3;0;1083,33333333333;1;1,33333333333333;1,25;1,25;0,75;6;0;1;0;21400;619,208333333333;"no";-4051;-5200
4;0;1997,22222222222;1,66666666666667;4;9;4,5;4;10;1;4;0;24100;826,25;"no";-2740;-1200
9;2;2108,88888888889;4,25;1,75;6,33333333333333;1,85714285714286;3,75;20;3;3;1;24100;1042,86666666667;"no";103;-594
10;3;3010;7,5;2,75;10;5;15;18;2;3;2;28500;855,866666666667;"si";3209;5100
9;2;2574,1935483871;20;3,66666666666667;9;6,33333333333333;11;30;1;1;4;24400;953,967741935484;"si";-1067;-2000
3;0;1243,24324324324;2;4;1;0,75;1;6;1;1;0;23100;755,324324324324;"no";-2343;-1600
4;0;1427,77777777778;3,5;0,666666666666667;1,66666666666667;3,5;1,4;8;0;3;0;24300;809,388888888889;"no";-45;1100
1;0;882,926829268293;1,6;1,5;2,5;6;1,8;15;0;3;1;25500;1294,60975609756;"no";1898;2100
11;1;2573,33333333333;16;6,5;12;15;14;18;1;4;2;26400;1139,66666666667;"si";2382;2800
1;0;1737,03703703704;3,66666666666667;4,33333333333333;2,75;2,33333333333333;3,66666666666667;15;1;2;1;26000;722,296296296296;"no";406;2
6;0;1704,54545454545;4;3,5;11;2,5;2;13;1;2;1;22900;1391,36363636364;"no";-451;-2800
11;3;2245,94594594595;3;9;2,33333333333333;10;3,5;11;1;5;0;23500;1140,48648648649;"si";-316;-810
5;0;1471,875;0,333333333333333;0,666666666666667;0;0;1;2;0;2;0;25800;961,15625;"no";-1738;624
11;3;2470,21276595745;7;6,25;10,5;12;6;29;1;2;6;24900;1295,1914893617;"si";-732;2000
9;1;2674,28571428571;5,5;2,33333333333333;6;3;4;13;2;3;1;26300;580,971428571429;"si";1066;479
11;4;3077,41935483871;8;9;18;16;7,5;21;1;3;1;27600;1533,12903225806;"si";2600;3300
1;0;1075;0;1;2;2;0,666666666666667;3;0;3;0;24300;612,035714285714;"no";-506;-1700
4;0;1234,375;0,5;1;0,666666666666667;1;2;5;0;1;0;24200;652,5625;"no";-1009;702
8;1;1866,66666666667;6;18;15;18;14;23;1;2;5;25700;882,625;"si";1289;2800
11;3;2446,34146341463;9;6;1,5;7;4;10;1;5;0;22100;1202,92682926829;"si";-523;-1200
3;0;1368,96551724138;1,33333333333333;1;2;2;2;5;0;0;0;23300;800,758620689655;"no";-2198;-2800
0;0;2162,5;2,5;2;7;2,5;4;9;0;2;1;23600;773,8125;"si";-1607;-2100
7;1;2900;6;4;8;7;1,5;10;1;3;1;26700;599,461538461538;"si";1335;4300
2;0;762,962962962963;1,5;1,33333333333333;1,66666666666667;3;8;8;0;0;2;23700;762,703703703704;"no";-1050;-1400
