"kda";"posicion"
10;"adc"
10;"adc"
3,5;"adc"
16;"adc"
11;"adc"
16;"adc"
9;"adc"
12;"adc"
5,5;"adc"
10;"adc"
17;"adc"
5;"adc"
9;"adc"
14;"adc"
9;"adc"
7;"adc"
10;"adc"
8;"adc"
18;"adc"
3,6;"adc"
14;"adc"
11;"adc"
14;"adc"
12;"adc"
5;"adc"
9,5;"adc"
5,33333333333333;"adc"
2,33333333333333;"adc"
14;"adc"
7;"adc"
6,5;"adc"
15;"adc"
8;"adc"
4,33333333333333;"adc"
13;"adc"
8;"adc"
9;"adc"
8;"adc"
14;"adc"
12;"adc"
8,5;"adc"
9;"adc"
5;"adc"
11;"adc"
9;"adc"
8;"adc"
8;"adc"
11;"adc"
6;"adc"
7;"adc"
4,5;"adc"
17;"adc"
9;"adc"
16;"adc"
4,25;"adc"
10;"adc"
6;"adc"
8;"adc"
2;"adc"
8;"adc"
9;"adc"
14;"adc"
7;"adc"
12;"adc"
9;"adc"
4,5;"adc"
11;"adc"
12;"adc"
5;"adc"
5;"adc"
12;"adc"
10;"adc"
14;"adc"
4,5;"adc"
6;"adc"
10;"adc"
18;"adc"
13;"adc"
9;"adc"
13;"adc"
9;"adc"
2;"adc"
13;"adc"
4;"adc"
9;"adc"
11;"adc"
6;"adc"
6,5;"adc"
18;"adc"
8;"adc"
6,5;"adc"
5;"adc"
3,66666666666667;"adc"
5;"adc"
8;"adc"
5,5;"adc"
10;"adc"
17;"adc"
5,5;"adc"
4,5;"adc"
2,2;"adc"
9;"adc"
9;"adc"
11;"adc"
3;"adc"
14;"adc"
8;"adc"
3;"adc"
2,75;"adc"
9;"adc"
11;"adc"
13;"adc"
7;"adc"
7;"adc"
7,33333333333333;"adc"
5;"adc"
2;"adc"
14;"adc"
8;"adc"
1;"adc"
12;"adc"
10;"adc"
6;"adc"
3,33333333333333;"adc"
11;"adc"
2,33333333333333;"adc"
5,33333333333333;"adc"
7;"adc"
3,33333333333333;"adc"
14;"adc"
3,5;"adc"
11;"adc"
5,5;"adc"
7,5;"adc"
11;"adc"
8;"adc"
1;"adc"
10;"adc"
11;"adc"
11;"adc"
10;"adc"
17;"adc"
